mun_code,mun_name,mun_name_simple,mun_id,reg_map,reg_name
3106200,"BELO HORIZONTE","BELO HORIZONTE",13,"CENTRAL MINEIRA",Central
3100104,"ABADIA DOS DOURADOS","ABADIA DOS DOURADOS",491,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3100203,"ABAETÉ",ABAETE,1,"CENTRAL MINEIRA",Central
3100302,"ABRE CAMPO","ABRE CAMPO",159,"ZONA DA MATA",Mata
3100401,ACAIACA,ACAIACA,160,"ZONA DA MATA",Mata
3100500,"AÇUCENA",ACUCENA,752,"VALE DO RIO DOCE","Rio Doce"
3100609,"ÁGUA BOA","AGUA BOA",753,"VALE DO RIO DOCE","Rio Doce"
3100708,"ÁGUA COMPRIDA","AGUA COMPRIDA",456,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3100906,"ÁGUAS FORMOSAS","AGUAS FORMOSAS",686,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3101003,"ÁGUAS VERMELHAS","AGUAS VERMELHAS",597,"NORTE DE MINAS","Norte de Minas"
3101102,"AIMORÉS",AIMORES,754,"VALE DO RIO DOCE","Rio Doce"
3101201,AIURUOCA,AIURUOCA,301,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3101300,ALAGOA,ALAGOA,302,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3101508,"ALÉM PARAÍBA","ALEM PARAIBA",161,"ZONA DA MATA",Mata
3101607,ALFENAS,ALFENAS,304,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3101631,"ALFREDO VASCONCELOS","ALFREDO VASCONCELOS",2,"CENTRAL MINEIRA",Central
3101706,ALMENARA,ALMENARA,687,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3101805,ALPERCATA,ALPERCATA,755,"VALE DO RIO DOCE","Rio Doce"
3101904,"ALPINÓPOLIS",ALPINOPOLIS,305,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3102001,ALTEROSA,ALTEROSA,306,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3102100,"ALTO RIO DOCE","ALTO RIO DOCE",164,"ZONA DA MATA",Mata
3102209,ALVARENGA,ALVARENGA,756,"VALE DO RIO DOCE","Rio Doce"
3102308,"ALVINÓPOLIS",ALVINOPOLIS,3,"CENTRAL MINEIRA",Central
3102506,"AMPARO DO SERRA","AMPARO DO SERRA",165,"ZONA DA MATA",Mata
3102605,ANDRADAS,ANDRADAS,307,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3102803,"ANDRELÂNDIA",ANDRELANDIA,308,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3102902,"ANTÔNIO CARLOS","ANTONIO CARLOS",5,"CENTRAL MINEIRA",Central
3103009,"ANTÔNIO DIAS","ANTONIO DIAS",757,"VALE DO RIO DOCE","Rio Doce"
3103108,"ANTÔNIO PRADO DE MINAS","ANTONIO PRADO DE MINAS",166,"ZONA DA MATA",Mata
3103306,ARACITABA,ARACITABA,167,"ZONA DA MATA",Mata
3103405,"ARAÇUAÍ",ARACUAI,689,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3103504,ARAGUARI,ARAGUARI,457,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3103603,ARANTINA,ARANTINA,309,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3103702,ARAPONGA,ARAPONGA,168,"ZONA DA MATA",Mata
3103900,"ARAÚJOS",ARAUJOS,523,"OESTE DE MINAS","Centro Oeste"
3104007,"ARAXÁ",ARAXA,493,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3104106,ARCEBURGO,ARCEBURGO,310,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3104205,ARCOS,ARCOS,524,"OESTE DE MINAS","Centro Oeste"
3104304,AREADO,AREADO,311,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3104403,ARGIRITA,ARGIRITA,169,"ZONA DA MATA",Mata
3104452,ARICANDUVA,ARICANDUVA,690,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3104502,ARINOS,ARINOS,578,"NOROESTE DE MINAS","Noroeste de Minas"
3104601,"ASTOLFO DUTRA","ASTOLFO DUTRA",170,"ZONA DA MATA",Mata
3104700,"ATALÉIA",ATALEIA,691,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3104809,"AUGUSTO DE LIMA","AUGUSTO DE LIMA",7,"CENTRAL MINEIRA",Central
3104908,BAEPENDI,BAEPENDI,312,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3105004,BALDIM,BALDIM,8,"CENTRAL MINEIRA",Central
3105103,"BAMBUÍ",BAMBUI,525,"OESTE DE MINAS","Centro Oeste"
3105301,"BANDEIRA DO SUL","BANDEIRA DO SUL",313,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3105400,"BARÃO DE COCAIS","BARAO DE COCAIS",9,"CENTRAL MINEIRA",Central
3105509,"BARÃO DE MONTE ALTO","BARAO DE MONTE ALTO",171,"ZONA DA MATA",Mata
3105608,BARBACENA,BARBACENA,10,"CENTRAL MINEIRA",Central
3105707,"BARRA LONGA","BARRA LONGA",172,"ZONA DA MATA",Mata
3105905,BARROSO,BARROSO,11,"CENTRAL MINEIRA",Central
3106002,"BELA VISTA DE MINAS","BELA VISTA DE MINAS",12,"CENTRAL MINEIRA",Central
3106309,"BELO ORIENTE","BELO ORIENTE",758,"VALE DO RIO DOCE","Rio Doce"
3106408,"BELO VALE","BELO VALE",14,"CENTRAL MINEIRA",Central
3106507,BERILO,BERILO,693,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3106655,BERIZAL,BERIZAL,598,"NORTE DE MINAS","Norte de Minas"
3106705,BETIM,BETIM,15,"CENTRAL MINEIRA",Central
3106804,"BIAS FORTES","BIAS FORTES",174,"ZONA DA MATA",Mata
3106903,BICAS,BICAS,175,"ZONA DA MATA",Mata
3107000,BIQUINHAS,BIQUINHAS,16,"CENTRAL MINEIRA",Central
3107109,"BOA ESPERANÇA","BOA ESPERANCA",314,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3107307,"BOCAIÚVA",BOCAIUVA,599,"NORTE DE MINAS","Norte de Minas"
3107406,"BOM DESPACHO","BOM DESPACHO",526,"OESTE DE MINAS","Centro Oeste"
3107505,"BOM JARDIM DE MINAS","BOM JARDIM DE MINAS",316,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3107703,"BOM JESUS DO AMPARO","BOM JESUS DO AMPARO",17,"CENTRAL MINEIRA",Central
3107802,"BOM JESUS DO GALHO","BOM JESUS DO GALHO",759,"VALE DO RIO DOCE","Rio Doce"
3107901,"BOM REPOUSO","BOM REPOUSO",318,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3108008,"BOM SUCESSO","BOM SUCESSO",527,"OESTE DE MINAS","Centro Oeste"
3108107,BONFIM,BONFIM,18,"CENTRAL MINEIRA",Central
3108206,"BONFINÓPOLIS DE MINAS","BONFINOPOLIS DE MINAS",579,"NOROESTE DE MINAS","Noroeste de Minas"
3108305,"BORDA DA MATA","BORDA DA MATA",319,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3108404,BOTELHOS,BOTELHOS,320,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3108503,BOTUMIRIM,BOTUMIRIM,601,"NORTE DE MINAS","Norte de Minas"
3108602,"BRASÍLIA DE MINAS","BRASILIA DE MINAS",602,"NORTE DE MINAS","Norte de Minas"
3108701,"BRÁS PIRES","BRAS PIRES",176,"ZONA DA MATA",Mata
3108800,"BRAÚNAS",BRAUNAS,760,"VALE DO RIO DOCE","Rio Doce"
3108909,"BRASÓPOLIS",BRASOPOLIS,321,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3109006,BRUMADINHO,BRUMADINHO,19,"CENTRAL MINEIRA",Central
3109105,"BUENO BRANDÃO","BUENO BRANDAO",322,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3109204,"BUENÓPOLIS",BUENOPOLIS,20,"CENTRAL MINEIRA",Central
3109253,BUGRE,BUGRE,761,"VALE DO RIO DOCE","Rio Doce"
3109303,BURITIS,BURITIS,581,"NOROESTE DE MINAS","Noroeste de Minas"
3109402,BURITIZEIRO,BURITIZEIRO,603,"NORTE DE MINAS","Norte de Minas"
3109501,"CABO VERDE","CABO VERDE",323,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3109600,"CACHOEIRA DA PRATA","CACHOEIRA DA PRATA",21,"CENTRAL MINEIRA",Central
3109709,"CACHOEIRA DE MINAS","CACHOEIRA DE MINAS",324,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3109808,"CACHOEIRA DOURADA","CACHOEIRA DOURADA",459,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3109907,"CAETANÓPOLIS",CAETANOPOLIS,22,"CENTRAL MINEIRA",Central
3110004,"CAETÉ",CAETE,23,"CENTRAL MINEIRA",Central
3110103,CAIANA,CAIANA,177,"ZONA DA MATA",Mata
3110202,CAJURI,CAJURI,178,"ZONA DA MATA",Mata
3110301,CALDAS,CALDAS,325,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3110509,CAMANDUCAIA,CAMANDUCAIA,326,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3110608,"CAMBUÍ",CAMBUI,327,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3110707,CAMBUQUIRA,CAMBUQUIRA,328,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3110905,CAMPANHA,CAMPANHA,329,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3111002,CAMPESTRE,CAMPESTRE,330,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3111101,"CAMPINA VERDE","CAMPINA VERDE",460,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3111150,"CAMPO AZUL","CAMPO AZUL",604,"NORTE DE MINAS","Norte de Minas"
3111200,"CAMPO BELO","CAMPO BELO",529,"OESTE DE MINAS","Centro Oeste"
3111309,"CAMPO DO MEIO","CAMPO DO MEIO",331,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3111408,"CAMPO FLORIDO","CAMPO FLORIDO",461,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3111507,"CAMPOS ALTOS","CAMPOS ALTOS",494,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3111606,"CAMPOS GERAIS","CAMPOS GERAIS",332,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3111705,"CANAÃ",CANAA,179,"ZONA DA MATA",Mata
3111804,"CANÁPOLIS",CANAPOLIS,462,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3111903,"CANA VERDE","CANA VERDE",530,"OESTE DE MINAS","Centro Oeste"
3112000,CANDEIAS,CANDEIAS,531,"OESTE DE MINAS","Centro Oeste"
3112059,CANTAGALO,CANTAGALO,763,"VALE DO RIO DOCE","Rio Doce"
3112109,"CAPARAÓ",CAPARAO,180,"ZONA DA MATA",Mata
3112208,"CAPELA NOVA","CAPELA NOVA",24,"CENTRAL MINEIRA",Central
3112307,CAPELINHA,CAPELINHA,696,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3112406,CAPETINGA,CAPETINGA,333,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3112505,"CAPIM BRANCO","CAPIM BRANCO",25,"CENTRAL MINEIRA",Central
3112604,"CAPINÓPOLIS",CAPINOPOLIS,463,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3112703,"CAPITÃO ENÉAS","CAPITAO ENEAS",605,"NORTE DE MINAS","Norte de Minas"
3112802,"CAPITÓLIO",CAPITOLIO,334,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3112901,CAPUTIRA,CAPUTIRA,181,"ZONA DA MATA",Mata
3113008,"CARAÍ",CARAI,697,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3113107,"CARANAÍBA",CARANAIBA,26,"CENTRAL MINEIRA",Central
3113206,"CARANDAÍ",CARANDAI,27,"CENTRAL MINEIRA",Central
3113305,CARANGOLA,CARANGOLA,182,"ZONA DA MATA",Mata
3113404,CARATINGA,CARATINGA,765,"VALE DO RIO DOCE","Rio Doce"
3113503,CARBONITA,CARBONITA,698,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3113602,"CAREAÇU",CAREACU,335,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3113701,"CARLOS CHAGAS","CARLOS CHAGAS",699,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3113800,"CARMÉSIA",CARMESIA,766,"VALE DO RIO DOCE","Rio Doce"
3113909,"CARMO DA CACHOEIRA","CARMO DA CACHOEIRA",336,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3114105,"CARMO DE MINAS","CARMO DE MINAS",337,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3114204,"CARMO DO CAJURU","CARMO DO CAJURU",533,"OESTE DE MINAS","Centro Oeste"
3114303,"CARMO DO PARANAÍBA","CARMO DO PARANAIBA",495,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3114501,"CARMÓPOLIS DE MINAS","CARMOPOLIS DE MINAS",534,"OESTE DE MINAS","Centro Oeste"
3114600,CARRANCAS,CARRANCAS,339,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3114709,"CARVALHÓPOLIS",CARVALHOPOLIS,340,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3114808,CARVALHOS,CARVALHOS,341,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3114907,"CASA GRANDE","CASA GRANDE",28,"CENTRAL MINEIRA",Central
3115003,"CASCALHO RICO","CASCALHO RICO",465,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3115102,"CÁSSIA",CASSIA,342,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3115300,CATAGUASES,CATAGUASES,183,"ZONA DA MATA",Mata
3115409,"CATAS ALTAS DA NORUEGA","CATAS ALTAS DA NORUEGA",30,"CENTRAL MINEIRA",Central
3115508,CAXAMBU,CAXAMBU,343,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3115607,"CEDRO DO ABAETÉ","CEDRO DO ABAETE",31,"CENTRAL MINEIRA",Central
3115706,"CENTRAL DE MINAS","CENTRAL DE MINAS",767,"VALE DO RIO DOCE","Rio Doce"
3115805,CENTRALINA,CENTRALINA,466,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3115904,"CHÁCARA",CHACARA,184,"ZONA DA MATA",Mata
3116001,"CHALÉ",CHALE,185,"ZONA DA MATA",Mata
3116159,"CHAPADA GAÚCHA","CHAPADA GAUCHA",607,"NORTE DE MINAS","Norte de Minas"
3116209,CHIADOR,CHIADOR,186,"ZONA DA MATA",Mata
3116308,"CIPOTÂNEA",CIPOTANEA,187,"ZONA DA MATA",Mata
3116407,CLARAVAL,CLARAVAL,344,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3116506,"CLARO DOS POÇÕES","CLARO DOS POCOES",608,"NORTE DE MINAS","Norte de Minas"
3116605,"CLÁUDIO",CLAUDIO,535,"OESTE DE MINAS","Centro Oeste"
3116704,COIMBRA,COIMBRA,188,"ZONA DA MATA",Mata
3116803,COLUNA,COLUNA,768,"VALE DO RIO DOCE","Rio Doce"
3116902,"COMENDADOR GOMES","COMENDADOR GOMES",467,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3117009,COMERCINHO,COMERCINHO,702,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3117108,"CONCEIÇÃO DA APARECIDA","CONCEICAO DA APARECIDA",345,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3117405,"CONCEIÇÃO DE IPANEMA","CONCEICAO DE IPANEMA",769,"VALE DO RIO DOCE","Rio Doce"
3117504,"CONCEIÇÃO DO MATO DENTRO","CONCEICAO DO MATO DENTRO",33,"CENTRAL MINEIRA",Central
3117603,"CONCEIÇÃO DO PARÁ","CONCEICAO DO PARA",536,"OESTE DE MINAS","Centro Oeste"
3117702,"CONCEIÇÃO DO RIO VERDE","CONCEICAO DO RIO VERDE",347,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3117836,"CÔNEGO MARINHO","CONEGO MARINHO",609,"NORTE DE MINAS","Norte de Minas"
3117876,CONFINS,CONFINS,34,"CENTRAL MINEIRA",Central
3117900,CONGONHAL,CONGONHAL,349,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3118007,CONGONHAS,CONGONHAS,35,"CENTRAL MINEIRA",Central
3118106,"CONGONHAS DO NORTE","CONGONHAS DO NORTE",36,"CENTRAL MINEIRA",Central
3118205,CONQUISTA,CONQUISTA,469,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3118304,"CONSELHEIRO LAFAIETE","CONSELHEIRO LAFAIETE",37,"CENTRAL MINEIRA",Central
3118403,"CONSELHEIRO PENA","CONSELHEIRO PENA",770,"VALE DO RIO DOCE","Rio Doce"
3118502,"CONSOLAÇÃO",CONSOLACAO,350,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3118601,CONTAGEM,CONTAGEM,38,"CENTRAL MINEIRA",Central
3118700,COQUEIRAL,COQUEIRAL,351,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3118809,"CORAÇÃO DE JESUS","CORACAO DE JESUS",610,"NORTE DE MINAS","Norte de Minas"
3118908,CORDISBURGO,CORDISBURGO,39,"CENTRAL MINEIRA",Central
3119005,"CORDISLÂNDIA",CORDISLANDIA,352,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3119104,CORINTO,CORINTO,40,"CENTRAL MINEIRA",Central
3119203,COROACI,COROACI,771,"VALE DO RIO DOCE","Rio Doce"
3119302,COROMANDEL,COROMANDEL,496,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3119401,"CORONEL FABRICIANO","CORONEL FABRICIANO",772,"VALE DO RIO DOCE","Rio Doce"
3119500,"CORONEL MURTA","CORONEL MURTA",703,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3119609,"CORONEL PACHECO","CORONEL PACHECO",189,"ZONA DA MATA",Mata
3119708,"CORONEL XAVIER CHAVES","CORONEL XAVIER CHAVES",41,"CENTRAL MINEIRA",Central
3119906,"CÓRREGO DO BOM JESUS","CORREGO DO BOM JESUS",353,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3120102,"COUTO DE MAGALHÃES DE MINAS","COUTO DE MAGALHAES DE MINAS",42,"CENTRAL MINEIRA",Central
3120201,CRISTAIS,CRISTAIS,539,"OESTE DE MINAS","Centro Oeste"
3120300,"CRISTÁLIA",CRISTALIA,611,"NORTE DE MINAS","Norte de Minas"
3120409,"CRISTIANO OTONI","CRISTIANO OTONI",43,"CENTRAL MINEIRA",Central
3120508,CRISTINA,CRISTINA,354,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3120607,"CRUCILÂNDIA",CRUCILANDIA,44,"CENTRAL MINEIRA",Central
3120706,"CRUZEIRO DA FORTALEZA","CRUZEIRO DA FORTALEZA",497,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3120805,"CRUZÍLIA",CRUZILIA,355,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3120870,"CURRAL DE DENTRO","CURRAL DE DENTRO",612,"NORTE DE MINAS","Norte de Minas"
3120904,CURVELO,CURVELO,45,"CENTRAL MINEIRA",Central
3121001,DATAS,DATAS,46,"CENTRAL MINEIRA",Central
3121209,"DELFINÓPOLIS",DELFINOPOLIS,357,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3121308,DESCOBERTO,DESCOBERTO,190,"ZONA DA MATA",Mata
3121407,"DESTERRO DE ENTRE RIOS","DESTERRO DE ENTRE RIOS",47,"CENTRAL MINEIRA",Central
3121506,"DESTERRO DO MELO","DESTERRO DO MELO",48,"CENTRAL MINEIRA",Central
3121605,DIAMANTINA,DIAMANTINA,49,"CENTRAL MINEIRA",Central
3121803,"DIONÍSIO",DIONISIO,51,"CENTRAL MINEIRA",Central
3122009,DIVINO,DIVINO,192,"ZONA DA MATA",Mata
3122108,"DIVINO DAS LARANJEIRAS","DIVINO DAS LARANJEIRAS",775,"VALE DO RIO DOCE","Rio Doce"
3122207,"DIVINOLÂNDIA DE MINAS","DIVINOLANDIA DE MINAS",776,"VALE DO RIO DOCE","Rio Doce"
3122306,"DIVINÓPOLIS",DIVINOPOLIS,540,"OESTE DE MINAS","Centro Oeste"
3122355,"DIVISA ALEGRE","DIVISA ALEGRE",613,"NORTE DE MINAS","Norte de Minas"
3122454,"DIVISÓPOLIS",DIVISOPOLIS,705,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3122470,"DOM BOSCO","DOM BOSCO",583,"NOROESTE DE MINAS","Noroeste de Minas"
3122504,"DOM CAVATI","DOM CAVATI",777,"VALE DO RIO DOCE","Rio Doce"
3122603,"DOM JOAQUIM","DOM JOAQUIM",52,"CENTRAL MINEIRA",Central
3122702,"DOM SILVÉRIO","DOM SILVERIO",193,"ZONA DA MATA",Mata
3122801,"DOM VIÇOSO","DOM VICOSO",359,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3122900,"DONA EUSÉBIA","DONA EUSEBIA",194,"ZONA DA MATA",Mata
3123007,"DORES DE CAMPOS","DORES DE CAMPOS",53,"CENTRAL MINEIRA",Central
3123106,"DORES DE GUANHÃES","DORES DE GUANHAES",778,"VALE DO RIO DOCE","Rio Doce"
3123205,"DORES DO INDAIÁ","DORES DO INDAIA",541,"OESTE DE MINAS","Centro Oeste"
3123403,"DORESÓPOLIS",DORESOPOLIS,542,"OESTE DE MINAS","Centro Oeste"
